date,areaName,newCasesByPublishDate,cumCasesByPublishDate,newAdmissions,cumAdmissions,hospitalCases,covidOccupiedMVBeds,newTestsByPublishDate,cumTestsByPublishDate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDateRate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
2020-01-31,United Kingdom,2,2,,,,,,,,,,,,,,
2020-02-01,United Kingdom,0,2,,,,,,,,,,,,,,
2020-02-02,United Kingdom,0,2,,,,,,,,,,,,,,
2020-02-03,United Kingdom,0,2,,,,,,,,,,,,,,
2020-02-04,United Kingdom,0,2,,,,,,,,,,,,,,
2020-02-05,United Kingdom,0,2,,,,,,,,,,,,,,
2020-02-06,United Kingdom,1,3,,,,,,,,,,,,,,
2020-02-07,United Kingdom,0,3,,,,,,,,,,,,,,
2020-02-08,United Kingdom,0,3,,,,,,,,,,,,,,
2020-02-09,United Kingdom,1,4,,,,,,,,,,,,,,
2020-02-10,United Kingdom,4,8,,,,,,,,,,,,,,
2020-02-11,United Kingdom,0,8,,,,,,,,,,,,,,
2020-02-12,United Kingdom,0,8,,,,,,,,,,,,,,
2020-02-13,United Kingdom,1,9,,,,,,,,,,,,,,
2020-02-14,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-15,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-16,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-17,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-18,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-19,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-20,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-21,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-22,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-23,United Kingdom,0,9,,,,,,,,,,,,,,
2020-02-24,United Kingdom,4,13,,,,,,,,,,,,,,
2020-02-25,United Kingdom,0,13,,,,,,,,,,,,,,
2020-02-26,United Kingdom,0,13,,,,,,,,,,,,,,
2020-02-27,United Kingdom,0,13,,,,,,,,,,,,,,
2020-02-28,United Kingdom,6,19,,,,,,,,,,,,,,
2020-02-29,United Kingdom,4,23,,,,,,,,,,,,,,
2020-03-01,United Kingdom,12,35,,,,,,,,,,,,,,
2020-03-02,United Kingdom,5,40,,,,,,,,,,1.0,1.0,,,
2020-03-03,United Kingdom,11,51,,,,,,,,,,2.0,3.0,,,
2020-03-04,United Kingdom,34,85,,,,,,,,,,0.0,3.0,,,
2020-03-05,United Kingdom,29,114,,,,,,,,,,3.0,6.0,,,
2020-03-06,United Kingdom,46,160,,,,,,,1.0,1.0,,0.0,6.0,,,
2020-03-07,United Kingdom,46,206,,,,,,,1.0,2.0,,0.0,6.0,,,
2020-03-08,United Kingdom,65,271,,,,,,,0.0,2.0,,3.0,9.0,,,
2020-03-09,United Kingdom,50,321,,,,,,,1.0,3.0,,5.0,14.0,,,
2020-03-10,United Kingdom,52,373,,,,,,,4.0,7.0,,3.0,17.0,,,
2020-03-11,United Kingdom,83,456,,,,,,,0.0,7.0,,8.0,25.0,,,
2020-03-12,United Kingdom,134,590,,,,,,,2.0,9.0,,13.0,38.0,0.1,,
2020-03-13,United Kingdom,207,797,,,,,,,1.0,10.0,,16.0,54.0,0.1,,
2020-03-14,United Kingdom,264,1061,,,,,,,18.0,29.0,,22.0,76.0,0.1,,
2020-03-15,United Kingdom,330,1391,,,,,,,14.0,43.0,0.1,32.0,108.0,0.2,,
2020-03-16,United Kingdom,152,1543,,,,,,,22.0,65.0,0.1,47.0,155.0,0.2,,
2020-03-17,United Kingdom,407,1950,,,,,,,16.0,82.0,0.1,52.0,207.0,0.3,,
2020-03-18,United Kingdom,676,2626,,,,,,,34.0,116.0,0.2,68.0,275.0,0.4,,
2020-03-19,United Kingdom,643,3269,,,,,,,45.0,162.0,0.2,74.0,349.0,0.5,,
2020-03-20,United Kingdom,714,3983,,,,,,,32.0,194.0,0.3,109.0,458.0,0.7,,
2020-03-21,United Kingdom,1035,5018,,,,,,,58.0,252.0,0.4,130.0,588.0,0.9,,
2020-03-22,United Kingdom,665,5683,,,,,,,36.0,288.0,0.4,164.0,752.0,1.1,,
2020-03-23,United Kingdom,967,6650,1273.0,4871.0,,,,,76.0,364.0,0.5,186.0,938.0,1.4,,
2020-03-24,United Kingdom,1427,8077,1720.0,6591.0,,,,,148.0,512.0,0.8,237.0,1175.0,1.8,,
2020-03-25,United Kingdom,1452,9529,2085.0,8676.0,,,,,191.0,703.0,1.1,303.0,1478.0,2.2,,
